Hour,Load (kW),Load (kW)
605,77594.0609,0.775940609
606,76616.0623,0.766160623
607,76904.6688,0.769046688
608,75522.8225,0.755228225
609,68575.4418,0.685754418
610,65377.2309,0.653772309
611,69027.509,0.69027509
612,69445.1158,0.694451158
613,61139.2586,0.611392586
614,68814.9876,0.688149876
615,62012.4663,0.620124663
616,68473.8687,0.684738687
617,69393.9382,0.693939382
618,68957.3786,0.689573786
619,70301.5892,0.703015892
620,77483.1315,0.774831315
621,82395.699,0.82395699
622,70995.4506,0.709954506
623,67381.6828,0.673816828
624,77078.9061,0.770789061
625,78254.6642,0.782546642
626,76142.7753,0.761427753
627,70770.2758,0.707702758
628,66444.5753,0.664445753
629,62314.8219,0.623148219
630,65274.901,0.65274901
631,60295.728,0.60295728
632,59217.2983,0.592172983
633,50843.9726,0.508439726
634,56250.3398,0.562503398
635,56197.8368,0.561978368
636,58699.7143,0.586997143
637,68123.3713,0.681233713
638,69194.0179,0.691940179
639,67668.3879,0.676683879
640,69707.522,0.69707522
641,69344.1446,0.693441446
642,71269.5628,0.712695628
643,71043.1664,0.710431664
644,70045.3211,0.700453211
645,67113.968,0.67113968
646,69164.2275,0.691642275
647,67653.2324,0.676532324
648,70758.2392,0.707582392
649,75781.9722,0.757819722
650,69243.2062,0.692432062
651,66874.2732,0.668742732
652,60754.9484,0.607549484
653,53519.6458,0.535196458
654,56833.5662,0.568335662
655,56031.9726,0.560319726
656,58220.679,0.58220679
657,62580.3355,0.625803355
658,58415.2467,0.584152467
659,53539.0191,0.535390191
660,65836.6935,0.658366935
661,54602.9306,0.546029306
662,64222.0944,0.642220944
663,64026.9781,0.640269781
664,73353.141,0.73353141
665,66560.5854,0.665605854
666,65443.3775,0.654433775
667,61457.8541,0.614578541
668,62504.1492,0.625041492
669,60535.3784,0.605353784
670,68178.7687,0.681787687
671,64871.6995,0.648716995
672,63935.131,0.63935131
673,47715.2861,0.477152861
674,54428.5272,0.544285272
675,51987.0851,0.519870851
676,52537.5838,0.525375838
677,50703.891,0.50703891
678,50202.5017,0.502025017
679,47574.7869,0.475747869
680,51527.4372,0.515274372
681,57588.4463,0.575884463
682,58830.5431,0.588305431
683,59695.5879,0.596955879
684,61155.2179,0.611552179
685,58602.7291,0.586027291
686,69023.9811,0.690239811
687,72625.3347,0.726253347
688,64896.2616,0.648962616
689,64273.4591,0.642734591
690,67728.0668,0.677280668
691,76840.7537,0.768407537
692,79186.0492,0.791860492
693,76952.4711,0.769524711
694,72144.9637,0.721449637
695,74898.976,0.74898976
696,69917.6862,0.699176862
697,74675.0953,0.746750953
698,77694.2208,0.776942208
699,70314.4095,0.703144095
700,67572.5613,0.675725613
701,61278.8868,0.612788868
702,71541.4075,0.715414075
703,67480.5291,0.674805291
704,68250.9677,0.682509677
705,56626.7572,0.566267572
706,61048.4007,0.610484007
707,61069.2388,0.610692388
708,57942.7571,0.579427571
709,61668.913,0.61668913
710,69146.0436,0.691460436
711,66668.9655,0.666689655
712,70043.6572,0.700436572
713,66319.3938,0.663193938
714,66626.7597,0.666267597
715,69306.8311,0.693068311
716,71884.7217,0.718847217
717,65426.167,0.65426167
718,62851.2315,0.628512315
719,65038.7232,0.650387232
720,69091.3755,0.690913755
721,70468.3577,0.704683577
722,73766.5744,0.737665744
723,66268.1623,0.662681623
724,66257.3669,0.662573669
725,59087.5116,0.590875116
726,57308.895,0.57308895
727,54522.1933,0.545221933
728,58691.8884,0.586918884
729,61084.6224,0.610846224
730,64778.1,0.647781
731,67326.4221,0.673264221
732,69353.2467,0.693532467
733,68324.8582,0.683248582
734,67740.3582,0.677403582
735,68108.071,0.68108071
736,71139.4271,0.711394271
737,71896.0716,0.718960716
738,72231.7538,0.722317538
739,67188.0516,0.671880516
740,70802.0678,0.708020678
741,65276.3101,0.652763101
742,67165.2722,0.671652722
743,68116.8038,0.681168038
744,65667.7397,0.656677397
745,63700.4126,0.637004126
746,64418.0148,0.644180148
747,61031.7687,0.610317687
748,66822.042,0.66822042
749,65104.8744,0.651048744
750,65013.8695,0.650138695
751,58322.1635,0.583221635
752,57373.7394,0.573737394
753,62207.9948,0.622079948
754,56443.924,0.56443924
755,59582.6544,0.595826544
756,65457.2408,0.654572408
757,61231.6679,0.612316679
758,73950.2086,0.739502086
759,66838.2725,0.668382725
760,71966.5222,0.719665222
761,69100.7322,0.691007322
762,79059.0609,0.790590609
763,75556.5851,0.755565851
764,78916.3098,0.789163098
765,83662.1554,0.836621554
766,84319.6301,0.843196301
767,82953.7372,0.829537372
768,82592.0374,0.825920374
769,79395.9815,0.793959815
770,72925.3903,0.729253903
771,63437.3793,0.634373793
772,61750.0097,0.617500097
773,60135.7016,0.601357016
774,60582.0091,0.605820091
775,55148.7314,0.551487314
776,51459.1271,0.514591271
777,53205.3108,0.532053108
778,60792.0727,0.607920727
779,53278.3198,0.532783198
780,62548.338,0.62548338
781,57300.5438,0.573005438
782,66798.1646,0.667981646
783,66125.2517,0.661252517
784,67675.7414,0.676757414
785,60614.9337,0.606149337
786,62269.9536,0.622699536
787,63245.4726,0.632454726
788,58022.4263,0.580224263
789,55600.8599,0.556008599
790,54287.0474,0.542870474
791,52548.7262,0.525487262
792,54291.78,0.5429178
793,57768.4387,0.577684387
794,68176.0961,0.681760961
795,53971.9183,0.539719183
796,57213.5584,0.572135584
797,56646.969,0.56646969
798,55643.3872,0.556433872
799,55417.573,0.55417573
800,55858.8313,0.558588313
801,61029.7429,0.610297429
802,55919.9361,0.559199361
803,60589.3106,0.605893106
804,59327.0583,0.593270583
805,57087.7448,0.570877448
806,66607.7953,0.666077953
807,61477.1876,0.614771876
808,62886.8134,0.628868134
809,60357.0613,0.603570613
810,61709.5057,0.617095057
811,60325.3446,0.603253446
812,57469.1504,0.574691504
