Hour,Load (kW)
2501,66922.0953
2502,66320.2602
2503,69493.9806
2504,66371.3593
2505,54958.7056
2506,52831.6429
2507,56436.8751
2508,52427.3333
2509,52173.1579
2510,51946.7232
2511,55697.9672
2512,54068.7456
2513,56004.0173
2514,55020.0834
2515,57464.5009
2516,69876.5223
2517,71733.0983
2518,66441.0232
2519,66909.8618
2520,66221.1581
2521,72002.5311
2522,71559.1466
2523,70452.2157
2524,65686.9048
2525,66680.4729
2526,68169.8506
2527,66901.7166
2528,63255.6446
2529,69382.9109
2530,77105.0335
2531,74123.1216
2532,67963.7173
2533,70072.7716
2534,73068.615
2535,71980.6837
2536,73363.6874
2537,71352.7255
2538,71721.9749
2539,75320.276
2540,74634.9041
2541,79344.3334
2542,79802.1125
2543,78697.0631
2544,76634.7194
2545,82864.3101
2546,77763.5752
2547,81258.5919
2548,80869.5792
2549,90967.0746
2550,90164.68
2551,89043.7921
2552,85200.7876
2553,90737.4177
2554,90284.6734
2555,87557.0672
2556,71470.1459
2557,81056.9625
2558,79642.0032
2559,87204.7653
2560,76767.1138
2561,71684.7685
2562,89201.8377
2563,84124.4459
2564,69880.425
2565,85683.3106
2566,85037.0341
2567,90127.0166
2568,83588.1027
2569,92174.2962
2570,88512.2602
2571,82757.4756
2572,76379.7841
2573,63283.476
2574,84379.691
2575,83139.5402
2576,81142.3165
2577,84935.317
2578,85038.2406
2579,85251.997
2580,85345.2572
2581,85279.0758
2582,86197.8769
2583,79636.9259
2584,79971.8569
2585,81456.9318
2586,82311.8747
2587,79825.717
2588,74423.5527
2589,81699.3174
2590,78408.2594
2591,80696.1113
2592,84021.2008
2593,84014.203
2594,73357.2325
2595,75386.6671
2596,59412.7919
2597,51434.887
2598,70189.7798
2599,78361.846
2600,76831.6008
2601,79339.6785
2602,80120.8114
2603,86443.6262
2604,75956.7716
2605,85233.3423
2606,76803.8282
2607,81306.2788
2608,82574.392
2609,84350.7716
2610,81830.0896
2611,81606.4354
2612,74758.3199
2613,82175.0448
2614,82771.7263
2615,82607.0924
2616,78768.547
2617,79511.3715
2618,80369.6363
2619,78260.4389
2620,80583.9204
2621,80621.9901
2622,79644.9465
2623,79934.5064
2624,78553.612
2625,71607.1816
2626,68409.9195
2627,72061.1447
2628,72479.6972
2629,64174.784
2630,71851.4555
2631,65049.8752
2632,71512.217
2633,72433.2244
2634,71997.601
2635,73342.7463
2636,80525.2218
2637,85438.7208
2638,74039.4024
2639,70426.563
2640,80124.7132
2641,81301.3966
2642,79190.4315
2643,73818.8542
2644,69494.0743
2645,65365.2399
2646,68326.2364
2647,63347.9794
2648,62270.464
2649,53898.051
2650,59305.3294
2651,59253.736
2652,61756.5215
2653,71181.085
2654,72252.6365
2655,70727.9098
2656,72767.9456
2657,72405.4684
2658,74331.7852
2659,74106.2858
2660,73109.336
2661,70178.8768
2662,72230.0285
2663,70719.9242
2664,73825.82
2665,78850.4406
2666,72312.5606
2667,69944.5121
2668,63826.07
2669,56591.6487
2670,59906.4488
2671,59105.7332
2672,61295.3161
2673,65655.8475
2674,61491.6321
2675,56616.2762
2676,68914.8208
2677,57681.9264
2678,67301.9573
2679,67107.7064
2680,76434.7331
2681,69643.0398
2682,68526.6925
2683,64542.0282
2684,65589.1808
2685,63621.2658
2686,71265.5105
2687,67959.294
2688,67023.5767
2689,50804.5813
2690,57518.6703
2691,55078.0746
2692,55629.4181
2693,53796.5685
2694,53296.0208
2695,50669.146
2696,54622.6347
2697,60684.4806
2698,61927.4126
2699,62793.291
2700,64253.7531
2701,61702.0948
2702,72124.1756
2703,75726.3565
2704,67998.109
2705,67376.1306
2706,70831.5608
2707,79945.0685
2708,82291.1833
2709,80058.4229
2710,75251.7315
2711,78006.5583
2712,73026.0814
2713,77784.3018
2714,80804.237
2715,73425.2337
2716,70684.1921
2717,64391.3224
2718,74654.6465
2719,70594.5698
2720,71365.8084
2721,59742.3964
2722,64164.8367
2723,64186.4701
2724,61060.7821
2725,64787.73
2726,72265.6511
2727,69789.3619
2728,73164.8408
2729,69441.363
2730,69749.513
2731,72430.3668
2732,75009.0382
2733,68551.2628
2734,65977.1048
2735,68165.3725
2736,72218.7993
2737,73596.5542
2738,76895.5421
2739,69397.8996
2740,69387.8722
2741,62218.7831
2742,60440.9312
2743,57654.9927
2744,61825.4493
2745,64218.9432
2746,67913.1791
2747,70462.2579
2748,72489.8375
2749,71462.2025
2750,70878.4543
2751,71246.9173
2752,74279.022
2753,75036.4135
2754,75372.8411
2755,70329.8826
2756,73944.641
2757,68419.6238
2758,70309.3248
2759,71261.5936
2760,68813.2652
2761,66846.6722
2762,67565.0068
2763,64179.4915
2764,69970.494
2765,68254.054
2766,68163.775
2767,61472.7934
2768,60525.092
2769,65360.0684
2770,59596.7172
2771,62736.1654
2772,68611.468
2773,64386.6097
2774,77105.8634
2775,69994.6386
2776,75123.5981
2777,72258.5162
2778,82217.5514
2779,78715.7804
2780,82076.2083
2781,86822.7555
2782,87480.9303
2783,86115.7357
2784,85754.7327
2785,82559.3718
2786,76089.4741
2787,66602.1549
2788,64915.4755
2789,63301.8561
2790,63748.8505
2791,58316.2581
2792,54627.3376
2793,56374.2033
2794,63961.6457
2795,56448.5715
2796,65719.2669
2797,60472.1483
2798,69970.443
2799,69298.2023
2800,70849.3627
2801,63789.2241
2802,65444.9114
2803,66421.0961
2804,61198.7139
2805,58777.81
2806,57464.6584
2807,55726.9964
2808,57470.7077
2809,60948.0224
2810,71356.3341
